NIK;Nama;Alamat_Asal;Alamat_Tujuan;Alasan_Kepindahan;Tanggal_Kepindahan
4688343950;Wati Sirait;Jalan Gatot Subroto No. 44, Kota DKI Jakarta, DKI Jakarta, 73284;Jalan Diponegoro No. 49, Kota Sumatera Utara, Sumatera Utara, 37812;Keluarga;09/16/2006
3260237936;Rita Hartono;Jalan Gatot Subroto No. 82, Kota Jawa Timur, Jawa Timur, 45462;Jalan Ahmad Yani No. 76, Kota DKI Jakarta, DKI Jakarta, 94692;Pendidikan;10/28/2017
2035808703;Slamet Kurniawan;Jalan Gatot Subroto No. 47, Kota Jawa Tengah, Jawa Tengah, 43703;Jalan Sudirman No. 80, Kota Jawa Timur, Jawa Timur, 48214;Pekerjaan;10/13/2014
2980377580;Hendro Prasetyo;Jalan Veteran No. 27, Kota Sumatera Barat, Sumatera Barat, 40159;Jalan Veteran No. 31, Kota Sumatera Utara, Sumatera Utara, 27437;Pekerjaan;03/06/2016
4404802773;Yuni Gunawan;Jalan Ahmad Yani No. 36, Kota Banten, Banten, 35308;Jalan Diponegoro No. 52, Kota Jawa Barat, Jawa Barat, 66170;Pendidikan;11/19/2006
6276084741;Fitri Wijaya;Jalan Veteran No. 45, Kota DKI Jakarta, DKI Jakarta, 74674;Jalan Diponegoro No. 26, Kota Sumatera Utara, Sumatera Utara, 34568;Keluarga;04/02/2004
9590029631;Nurul Wijaya;Jalan Diponegoro No. 69, Kota Sumatera Barat, Sumatera Barat, 85252;Jalan Ahmad Yani No. 19, Kota DKI Jakarta, DKI Jakarta, 83697;Keluarga;11/14/2020
837870429;Hadi Wijaya;Jalan Veteran No. 37, Kota Jawa Barat, Jawa Barat, 13519;Jalan Diponegoro No. 50, Kota Sumatera Barat, Sumatera Barat, 18422;Keluarga;09/22/2022
4711335232;Ani Saputra;Jalan Veteran No. 98, Kota Jawa Tengah, Jawa Tengah, 19705;Jalan Ahmad Yani No. 38, Kota Sumatera Utara, Sumatera Utara, 61590;Pendidikan;02/20/2019
871129455;Yulio Pranoto;Jalan Diponegoro No. 26, Kota Banten, Banten, 23006;Jalan Sudirman No. 86, Kota Jawa Tengah, Jawa Tengah, 14773;Lainnya;12/27/2000
373639563;Wati Santoso;Jalan Sudirman No. 12, Kota Sumatera Utara, Sumatera Utara, 97391;Jalan Veteran No. 26, Kota Banten, Banten, 11757;Lainnya;06/17/2007
3099099025;Maya Wijaya;Jalan Ahmad Yani No. 57, Kota Sumatera Utara, Sumatera Utara, 26646;Jalan Merdeka No. 34, Kota Sumatera Barat, Sumatera Barat, 81102;Keluarga;10/28/2014
4403786519;Rina Santoso;Jalan Sudirman No. 90, Kota Jawa Tengah, Jawa Tengah, 63262;Jalan Merdeka No. 79, Kota Jawa Tengah, Jawa Tengah, 85551;Lainnya;08/03/2011
1440732102;Iwan Prasetyo;Jalan Gatot Subroto No. 51, Kota Sumatera Barat, Sumatera Barat, 64742;Jalan Merdeka No. 19, Kota Jawa Tengah, Jawa Tengah, 42732;Keluarga;01/03/2016
924868097;Siti Hidayat;Jalan Gatot Subroto No. 89, Kota Banten, Banten, 59992;Jalan Ahmad Yani No. 7, Kota Jawa Tengah, Jawa Tengah, 45276;Pendidikan;08/11/2002
4311468914;Eko Susanto;Jalan Merdeka No. 72, Kota Sumatera Utara, Sumatera Utara, 41540;Jalan Ahmad Yani No. 86, Kota DKI Jakarta, DKI Jakarta, 28863;Keluarga;09/30/2008
7707301477;Susan Setiawan;Jalan Sudirman No. 95, Kota Sumatera Utara, Sumatera Utara, 67926;Jalan Ahmad Yani No. 5, Kota Sumatera Barat, Sumatera Barat, 19120;Pekerjaan;10/17/2007
8525751375;Rina Hartono;Jalan Sudirman No. 65, Kota Banten, Banten, 26569;Jalan Veteran No. 19, Kota Sumatera Utara, Sumatera Utara, 64253;Lainnya;10/04/2006
4014130589;Muhammad Nugroho;Jalan Ahmad Yani No. 66, Kota Bali, Bali, 55194;Jalan Ahmad Yani No. 95, Kota Sumatera Utara, Sumatera Utara, 17621;Pendidikan;08/17/2012
