Nama;Email;NIK;Jenis_Dokumen;Tanggal_Permohonan;Status;Tanggal_Selesai
Susan Wijaya;susanwijaya38@gmail.com;7452016988;Akta Kematian;08/12/2024;Disetujui;8/18/2024
Dewi Saputra;dewisaputra20@gmail.com;3622622586;Akta Kematian;2/23/2025;Ditolak;2/28/2025
Nurul Kurniawan;nurulkurniawan65@gmail.com;9479989758;Akta Kematian;1/20/2025;Disetujui;1/22/2025
Yuni Santoso;yunisantoso35@gmail.com;6806710367;KTP;11/05/2024;Ditolak;11/09/2024
Hendro Andriani;hendroandriani79@gmail.com;6317443478;Akta Kelahiran;1/18/2025;Ditolak;1/19/2025
Ani Sirait;anisirait82@gmail.com;2818063368;Akta Kelahiran;12/23/2024;Ditolak;12/25/2024
Wati Susanto;watisusanto37@gmail.com;8617013842;Akta Kematian;7/26/2024;Disetujui;7/31/2024
Taufik Andriani;taufikandriani64@gmail.com;8790531179;Akta Kematian;04/08/2025;Disetujui;4/15/2025
Hendro Pranoto;hendropranoto98@gmail.com;9059068343;Kartu Keluarga;8/13/2024;Disetujui;8/19/2024
Ahmad Wijaya;ahmadwijaya80@gmail.com;4112805682;Akta Kematian;04/04/2025;Disetujui;04/10/2025
Hadi Gunawan;hadigunawan44@gmail.com;5237244470;Akta Kelahiran;2/16/2025;Ditolak;2/18/2025
Hendro Hartono;hendrohartono22@gmail.com;9856270226;Akta Kelahiran;08/05/2024;Ditolak;08/07/2024
Nurul Setiawan;nurulsetiawan92@gmail.com;2273150265;Akta Kematian;2/22/2025;Diproses;2/28/2025
Yuni Gunawan;yunigunawan81@gmail.com;300993012;Kartu Keluarga;11/17/2024;Diproses;11/19/2024
Rina Kurniawan;rinakurniawan48@gmail.com;4510050394;Kartu Keluarga;11/29/2024;Ditolak;12/04/2024
Hadi Sirait;hadisirait32@gmail.com;8073085717;Akta Kematian;3/20/2025;Ditolak;3/24/2025
Rudi Hutapea;rudihutapea69@gmail.com;5105970414;KTP;10/29/2024;Ditolak;11/01/2024
Iwan Sirait;iwansirait55@gmail.com;1918241796;Kartu Keluarga;10/05/2024;Ditolak;10/08/2024
Wati Nugroho;watinugroho10@gmail.com;1334539170;Kartu Keluarga;12/11/2024;Disetujui;12/18/2024
Fitri Gunawan;fitrigunawan89@gmail.com;3308201992;Akta Kematian;2/16/2025;Diproses;2/23/2025
Fitri Hartono;fitrihartono21@gmail.com;4086328451;KTP;02/06/2025;Diproses;02/07/2025
Eko Kurniawan;ekokurniawan20@gmail.com;537560632;KTP;8/30/2024;Diproses;09/06/2024
Fitri Setiawan;fitrisetiawan13@gmail.com;4872958471;Akta Kematian;03/11/2025;Disetujui;3/17/2025
Taufik Setiawan;taufiksetiawan32@gmail.com;7994043289;KTP;2/14/2025;Disetujui;2/21/2025
Hadi Susanto;hadisusanto40@gmail.com;6603149090;KTP;9/20/2024;Disetujui;9/21/2024
Ahmad Hartono;ahmadhartono58@gmail.com;5893448797;Akta Kelahiran;1/17/2025;Disetujui;1/21/2025
Iwan Saputra;iwansaputra80@gmail.com;1907134420;Akta Kelahiran;5/13/2025;Diproses;5/14/2025
Nurul Pranoto;nurulpranoto19@gmail.com;7670800788;KTP;01/05/2025;Disetujui;01/10/2025
Bambang Prasetyo;bambangprasetyo57@gmail.com;7284821341;Akta Kelahiran;07/02/2024;Ditolak;07/09/2024
Erni Saputra;ernisaputra18@gmail.com;4701808387;Akta Kematian;04/03/2025;Ditolak;04/05/2025
Indah Nugroho;indahnugroho88@gmail.com;6160290696;Kartu Keluarga;4/26/2025;Disetujui;4/28/2025
Bambang Sirait;bambangsirait52@gmail.com;6161353971;Kartu Keluarga;12/10/2024;Diproses;12/15/2024
Yulio Kurniawan;yuliokurniawan56@gmail.com;5114160334;Kartu Keluarga;10/20/2024;Diproses;10/21/2024
Taufik Hartono;taufikhartono16@gmail.com;2990004851;Akta Kelahiran;11/04/2024;Diproses;11/07/2024
Ahmad Santoso;ahmadsantoso84@gmail.com;4645832004;KTP;03/11/2025;Disetujui;3/13/2025
Yuni Hutapea;yunihutapea38@gmail.com;999306257;Akta Kelahiran;06/09/2024;Diproses;06/11/2024
Yuni Setiawan;yunisetiawan42@gmail.com;4508213371;Akta Kematian;2/22/2025;Diproses;2/25/2025
Lia Prasetyo;liaprasetyo45@gmail.com;441565840;KTP;5/18/2024;Ditolak;5/21/2024
Ani Wijaya;aniwijaya23@gmail.com;5720287130;Kartu Keluarga;3/16/2025;Disetujui;3/23/2025
Rini Saputra;rinisaputra15@gmail.com;8142508541;Kartu Keluarga;09/04/2024;Disetujui;09/10/2024
Ahmad Pranoto;ahmadpranoto16@gmail.com;3255166169;Akta Kematian;11/24/2024;Diproses;12/01/2024
Taufik Sirait;taufiksirait28@gmail.com;1072522699;KTP;01/07/2025;Ditolak;01/09/2025
Yuni Wijaya;yuniwijaya80@gmail.com;8992811404;Akta Kelahiran;12/19/2024;Disetujui;12/20/2024
Susan Nugroho;susannugroho87@gmail.com;2137466249;Kartu Keluarga;11/26/2024;Disetujui;12/02/2024
Adi Nugroho;adinugroho72@gmail.com;63589381;Akta Kematian;06/10/2024;Ditolak;06/11/2024
Adi Sirait;adisirait33@gmail.com;7003273449;Kartu Keluarga;2/23/2025;Diproses;2/28/2025
Maya Kurniawan;mayakurniawan25@gmail.com;7878489229;Akta Kelahiran;03/10/2025;Diproses;03/11/2025
Indah Andriani;indahandriani85@gmail.com;6468659049;Kartu Keluarga;01/06/2025;Diproses;01/08/2025
Bambang Nugroho;bambangnugroho58@gmail.com;9501000744;Kartu Keluarga;03/08/2025;Diproses;03/12/2025
